keys,en
CardData.arc_flash.description,Deal 3 damage to every enemy.
CardData.arc_flash.display_name,Arc Flash
CardData.armor_plate.description,ENCRYPT a chosen slice and gain 4 block.
CardData.armor_plate.display_name,Armor Plate
CardData.backspin.description,Spin a wheel 9 ticks counter-clockwise.
CardData.backspin.display_name,Backspin
CardData.blind_spot.description,The target skips its next respin and loses 1 resistance.
CardData.blind_spot.display_name,Blind Spot
CardData.brute_spin.description,Spin a wheel 6 ticks.
CardData.brute_spin.display_name,Brute Spin
CardData.bug.description,Corrupted code. Drains 1 RAM when played. Exhaust.
CardData.bug.display_name,Bug
CardData.bulwark.description,Gain 12 block.
CardData.bulwark.display_name,Bulwark
CardData.cache.description,Gain 3 RAM. Exhaust.
CardData.cache.display_name,Cache
CardData.calibrate.description,Your next 2 nudges this turn are free.
CardData.calibrate.display_name,Calibrate
CardData.cleanse.description,Remove CORRUPTED from a chosen slice.
CardData.cleanse.display_name,Cleanse
CardData.cold_snap.description,The target skips its next respin and you gain 3 block.
CardData.cold_snap.display_name,Cold Snap
CardData.corrupt_packet.description,CORRUPT the enemy slice under your pointer.
CardData.corrupt_packet.display_name,Corrupt Packet
CardData.counter_spin.description,Spin a wheel 5 ticks counter-clockwise.
CardData.counter_spin.display_name,Counter-Spin
CardData.data_surge.description,Draw 3 cards.
CardData.data_surge.display_name,Data Surge
CardData.deep_calibrate.description,Your next 3 nudges this turn are free. Exhaust.
CardData.deep_calibrate.display_name,Deep Calibrate
CardData.deep_strip.description,Remove 4 resistance from the target.
CardData.deep_strip.display_name,Deep Strip
CardData.double_jam.description,"Nudge an enemy wheel +-1 twice, ignoring resistance."
CardData.double_jam.display_name,Double Jam
CardData.duck.description,Evade the next incoming attack this turn.
CardData.duck.display_name,Duck
CardData.encrypt.description,ENCRYPT a chosen slice: it absorbs the next status.
CardData.encrypt.display_name,Encrypt
CardData.feather_touch.description,One +-1 nudge.
CardData.feather_touch.display_name,Feather Touch
CardData.fine_tune.description,Two +-1 nudges on one ring.
CardData.fine_tune.display_name,Fine Tune
CardData.firewall.description,Gain 6 block.
CardData.firewall.display_name,Firewall
CardData.flick.description,Spin a wheel 1 tick.
CardData.flick.display_name,Flick
CardData.flip_switch.description,Flip your own wheel.
CardData.flip_switch.display_name,Flip Switch
CardData.freeze.description,Target wheel skips its next respin. Exhaust.
CardData.freeze.display_name,Freeze
CardData.gear_mesh.description,Spin the target and your own wheel 5 ticks.
CardData.gear_mesh.display_name,Gear Mesh
CardData.gear_shift.description,Move your inner ring 5 ticks.
CardData.gear_shift.display_name,Gear Shift
CardData.ghost_step.description,"Two nudges on an enemy wheel, ignoring resistance."
CardData.ghost_step.display_name,Ghost Step
CardData.heavy_spin.description,Spin a wheel 9 ticks.
CardData.heavy_spin.display_name,Heavy Spin
CardData.hot_patch.description,"OVERCLOCK a chosen slice of your wheel: 1.5x on its next trigger, then it becomes CORRUPTED."
CardData.hot_patch.display_name,Hot Patch
CardData.hot_swap.description,Snap your outer ring to the slice centre and gain 1 RAM.
CardData.hot_swap.display_name,Hot Swap
CardData.hub_breach.description,Disable the target Hub for 1 turn.
CardData.hub_breach.display_name,Hub Breach
CardData.inner_drift.description,Move your inner ring 3 ticks.
CardData.inner_drift.display_name,Inner Drift
CardData.inner_snap.description,Move your inner ring to the nearest segment centre.
CardData.inner_snap.display_name,Inner Snap
CardData.jam.description,"Nudge an enemy wheel +-1, ignoring resistance."
CardData.jam.display_name,Jam
CardData.jolt.description,Spin a wheel 3 ticks.
CardData.jolt.display_name,Jolt
CardData.leech_worm.description,The enemy slice under your pointer gets a PARASITE (half output). Exhaust.
CardData.leech_worm.display_name,Leech Worm
CardData.lock_on.description,Move your outer ring to the nearest slice centre (Perfect). Exhaust.
CardData.lock_on.display_name,Lock On
CardData.malware_drop.description,CORRUPT a random non-Miss slice of the target.
CardData.malware_drop.display_name,Malware Drop
CardData.micro_adjust.description,Two +-1 nudges. Exhaust.
CardData.micro_adjust.display_name,Micro-Adjust
CardData.mirror_flip.description,Flip a wheel. Blocked while the target has resistance.
CardData.mirror_flip.display_name,Mirror Flip
CardData.momentum.description,Spin 2; spin 5 instead if you already spun this turn.
CardData.momentum.display_name,Momentum
CardData.overclock_nudges.description,Nudge cards trigger twice next turn.
CardData.overclock_nudges.display_name,Nudge Driver
CardData.overdrive.description,"OVERCLOCK your slice under the pointer: 1.5x on its next trigger, then it becomes CORRUPTED."
CardData.overdrive.display_name,Overdrive
CardData.overload.description,Deal 10 damage to the target and take 4. Exhaust.
CardData.overload.display_name,Overload
CardData.parasite_pulse.description,The target's slice under the pointer gets a PARASITE (half output). Exhaust.
CardData.parasite_pulse.display_name,Parasite Pulse
CardData.patch_up.description,Heal 6. Exhaust.
CardData.patch_up.display_name,Patch Up
CardData.power_tap.description,Gain 2 RAM and take 3 damage.
CardData.power_tap.display_name,Power Tap
CardData.pull.description,Draw 2 cards.
CardData.pull.display_name,Pull
CardData.ratchet.description,Move your inner ring 8 ticks.
CardData.ratchet.display_name,Ratchet
CardData.reroll.description,Respin a wheel to a random tick.
CardData.reroll.display_name,Reroll
CardData.ring_lock.description,"This turn, spins do not move your inner ring."
CardData.ring_lock.display_name,Ring Lock
CardData.ring_tap.description,Two +-1 nudges on your inner ring.
CardData.ring_tap.display_name,Ring Tap
CardData.sanitize.description,Remove CORRUPTED from a chosen slice and gain 3 block.
CardData.sanitize.display_name,Sanitize
CardData.scrap_code.description,Gain 1 RAM and draw 1 card. Exhaust.
CardData.scrap_code.display_name,Scrap Code
CardData.shield_wall.description,Gain 4 shield.
CardData.shield_wall.display_name,Shield Wall
CardData.short_circuit.description,Disable the target Hub for 2 turns. Exhaust.
CardData.short_circuit.display_name,Short Circuit
CardData.snap.description,Move a ring to the nearest slice centre (Perfect).
CardData.snap.display_name,Snap
CardData.spawn_drone.description,Dock a drone on a chosen slice of your wheel.
CardData.spawn_drone.display_name,Spawn Drone
CardData.spin_cycle.description,Spin a wheel 12 ticks.
CardData.spin_cycle.display_name,Spin Cycle
CardData.static_shock.description,Deal 4 damage to the target.
CardData.static_shock.display_name,Static Shock
CardData.steady_hand.description,"If your slice is Perfect at end of turn, +2 RAM next turn."
CardData.steady_hand.display_name,Steady Hand
CardData.stim_patch.description,Heal 12. Exhaust.
CardData.stim_patch.display_name,Stim Patch
CardData.strip.description,Remove 2 resistance from the target.
CardData.strip.display_name,Strip
